Group,Both,Conservator Only,Lab Only,Neither,,,,,,,,
"Light microscopy, etc.",14,3,7,1,,,,,,,,
NLO,5,0,0,0,,,,,,,,
OCT,1,0,0,0,,,,,,,,
AFM,2,0,2,0,,,,,,,,
"EM, SEM, etc.",11,0,9,0,,,,,,,,
MSI,4,0,2,1,,,,,,,,
"Colourimetry, etc.",8,0,4,1,,,,,,,,
DIC,1,0,0,0,,,,,,,,
"DSC, etc.",7,0,11,0,,,,,,,,
"DMA, etc.",4,0,3,0,,,,,,,,
"TG, etc.",2,0,5,1,,,,,,,,
"MHT, etc.",10,1,4,0,,,,,,,,
"RH, etc.",7,1,2,0,,,,,,,,
DTA,1,0,0,0,,,,,,,,
TS,2,0,2,0,,,,,,,,
IRT,0,0,0,1,,,,,,,,
"FTIR, etc.",17,2,11,1,,,,,,,,
"RS, etc.",9,0,8,0,,,,,,,,
FORS,1,0,1,0,,,,,,,,
"UV, VIS, and NIR spectroscopy",7,0,4,0,,,,,,,,
SF,0,0,2,0,,,,,,,,
"XRF, etc.",5,0,0,0,,,,,,,,
NMR,6,0,3,0,,,,,,,,
EPR,0,0,1,0,,,,,,,,
LIBS,0,0,2,0,,,,,,,,
MEES,0,0,1,0,,,,,,,,
XPS,1,0,0,0,,,,,,,,
SAXS,1,1,2,0,,,,,,,,
"XRD, etc.",5,0,5,0,,,,,,,,
AAA,5,0,1,0,,,,,,,,
"GC, etc.",6,0,1,0,,,,,,,,
"MA, etc.",8,1,1,0,,,,,,,,
PH,2,0,2,0,,,,,,,,
"GE, SDS-PAGE, etc.",3,0,1,0,,,,,,,,
PMF,1,0,0,0,,,,,,,,
MALDI,0,0,1,0,,,,,,,,
LCDG,0,0,1,0,,,,,,,,
NGS,0,0,1,0,,,,,,,,
RP,0,0,1,0,,,,,,,,
"Visual analysis, etc.",18,22,5,0,,,,,,,,
